_id;amparo_legal;codigo_infracao;descricao_infracao;escopo_autuacao;mes;;quantidade_autos;uf;m�s;ano
604f7a61a60b104ea49b9fea;ARTIGO 2º, ALÍNEA A, INCISO 1 DO DECRETO 5462/2005;2101;ARTIGO 2º - ALÍNEA A - INCISO 1 - EFETUAR TRANSPORTE INTERNACIONAL TERRESTRE SEM ESTAR AUTORIZADO;Transporte Rodoviário Internacional de Passageiros;FEVEREIRO;;3;RS;2;2019
604f7a61a60b104ea49b9feb;ARTIGO 2º, ALÍNEA A, INCISO 4 DO DECRETO 5462/2005;2104;ARTIGO 2º - ALÍNEA A - INCISO 4 - NÃO POSSUIR SEGUROS VIGENTES;Transporte Rodoviário Internacional de Passageiros;FEVEREIRO;;1;RS;2;2019
604f7a61a60b104ea49b9fec;ARTIGO 5º, ALÍNEA A, INCISO 2 DO DECRETO 5462/2005;5102;ARTIGO 5º - ALÍNEA A - INCISO 2 - NÃO ENTREGAR COMPROVANTE PELO TRANSPORTE DE BAGAGENS;Transporte Rodoviário Internacional de Passageiros;FEVEREIRO;;1;RS;2;2019
604f7a61a60b104ea49b9fed;ARTIGO 5º, ALÍNEA A, INCISO 3 DO DECRETO 5462/2005;5103;ARTIGO 5º - ALÍNEA A - INCISO 3 - NÃO PORTAR OS DOCUMENTOS DE TRANSPORTE DE PORTE OBRIGATÓRIO;Transporte Rodoviário Internacional de Passageiros;FEVEREIRO;;1;RS;2;2019
604f7a61a60b104ea49b9fee;ARTIGO 5º, ALÍNEA A, INCISO 4 DO DECRETO 5462/2005;5104;ARTIGO 5º - ALÍNEA A - INCISO 4 - NÃO CONTAR COM SISTEMA DE ATENDIMENTO DE RECLAMAÇÕES NOS LOCAIS DE VENDA DE PASSAGENS OU NOS TERMINAIS;Transporte Rodoviário Internacional de Passageiros;FEVEREIRO;;2;RS;2;2019
604f7a61a60b104ea49b9fef;ARTIGO 5º, ALÍNEA A, INCISO 5 DO DECRETO 5462/2005;5105;ARTIGO 5º - ALÍNEA A - INCISO 5 - NEGAR O ACESSO AO SISTEMA DE RECLAMAÇÕES OU NÃO OBSERVAR AS NORMAS DE PUBLICIDADE E USO DO MESMO;Transporte Rodoviário Internacional de Passageiros;FEVEREIRO;;1;RS;2;2019
604f7a61a60b104ea49b9ff0;ARTIGO 3º, ALÍNEA A, INCISO 5 DO DECRETO 5462/2005;3105;ARTIGO 3º - ALÍNEA A - INCISO 5 - REALIZAR UM SERVIÇO DIFERENTE DO AUTORIZADO;Transporte Rodoviário Internacional de Passageiros;FEVEREIRO;;1;SC;2;2019
604f7a61a60b104ea49b9ff1;ARTIGO 4º, ALÍNEA A, INCISO 3 DO DECRETO 5462/2005;4103;ARTIGO 4º - ALÍNEA A - INCISO 3 - NÃO CUMPRIR OS HORÁRIOS DE INÍCIO DO SERVIÇO E/OU ALTERÁ-LOS SEM CAUSA JUSTIFICADA;Transporte Rodoviário Internacional de Passageiros;FEVEREIRO;;1;SC;2;2019
604f7a61a60b104ea49b9ff2;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO III, ALÍNEA ""R"" DA RESOLUÇÃO ANTT Nº 233/2003";318;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO III, ALÍNEA ""R"" DA RES.ANTT Nº 233/2003 - INCLUÍDO PELA RESOLUÇÃO ANTT Nº 3871/2012 - NÃO OBSERVAR AS NORMAS E PROCEDIMENTOS NECESSÁRIOS PARA GARANTIR CONDIÇÕES DE ACESSIBILIDADE AOS VEÍCULOS.";Transporte Rodoviário Interestadual de Passageiros;FEVEREIRO;;2;SP;2;2019
604f7a61a60b104ea49b9ff3;ARTIGO 3º, ALÍNEA A, INCISO 5 DO DECRETO 5462/2005;3105;ARTIGO 3º - ALÍNEA A - INCISO 5 - REALIZAR UM SERVIÇO DIFERENTE DO AUTORIZADO;Transporte Rodoviário Internacional de Passageiros;FEVEREIRO;;1;SP;2;2019
604f7a61a60b104ea49b9ff4;ARTIGO 4º, ALÍNEA A, INCISO 4 DO DECRETO 5462/2005;4104;ARTIGO 4º - ALÍNEA A - INCISO 4 - NÃO PROCEDER À DEVOLUÇÃO TOTAL OU PARCIAL DE QUANTIAS PAGAS PARA SERVIÇOS QUE FOREM SUSPENSOS ANTES DE SEU INÍCIO OU INTERROMPIDOS DURANTE SUA PRESTAÇÃO POR CAUSAS ALHEIAS À VONTADE DOS USUÁRIOS;Transporte Rodoviário Internacional de Passageiros;FEVEREIRO;;1;SP;2;2019
604f7a61a60b104ea49b9ff5;ARTIGO 3º, ALÍNEA A, INCISO 11 DO DECRETO 5462/2005;3111;ARTIGO 3º - ALÍNEA A - INCISO 11 - SUSPENDER UM SERVIÇO AUTORIZADO, EXCETO EM CASO DE FORÇA MAIOR;Transporte Rodoviário Internacional de Passageiros;MARÇO;;1;PR;3;2019
