_id;amparo_legal;codigo_infracao;descricao_infracao;escopo_autuacao;mes;quantidade_autos;uf;m�s;ano
604f7a48a60b104ea49b9740;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO II, ALÍNEA ""B"" DA RESOLUÇÃO ANTT Nº 233/2003";202;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO II, ALÍNEA ""B"" DA RES.ANTT Nº 233/2003 - RETARDAR, INJUSTIFICADAMENTE, A PRESTAÇÃO DE TRANSPORTE PARA OS PASSAGEIROS.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;1;AL;1;2018
604f7a48a60b104ea49b9741;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO III, ALÍNEA ""D"" DA RESOLUÇÃO ANTT Nº 233/2003";304;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO III, ALÍNEA ""D"" DA RES.ANTT Nº 233/2003 - ALTERAR, SEM PRÉVIA COMUNICAÇÃO A ANTT, O ESQUEMA OPERACIONAL DA LINHA.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;4;AL;1;2018
604f7a48a60b104ea49b9742;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO III, ALÍNEA ""E"" DA RESOLUÇÃO ANTT Nº 233/2003";305;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO III, ALÍNEA ""E"" DA RES.ANTT Nº 233/2003 - COBRAR, A QUALQUER TÍTULO, IMPORTÂNCIA NÃO PREVISTA OU NÃO PERMITIDA NAS NORMAS LEGAIS OU REGULAMENTOS APLICÁVEIS.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;1;AL;1;2018
604f7a48a60b104ea49b9743;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO I, ALÍNEA ""E"" DA RESOLUÇÃO ANTT Nº 233/2003 ";105;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO I, ALÍNEA ""E"" DA RES.ANTT Nº 233/2003 - NÃO OBSERVAR O PRAZO MÍNIMO ESTABELECIDO PARA INÍCIO DA VENDA DE BILHETE DE PASSAGEM.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;4;AL;1;2018
604f7a48a60b104ea49b9744;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO III, ALÍNEA ""M"" DA RESOLUÇÃO ANTT Nº 233/2003";313;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO III, ALÍNEA ""M"" DA RES.ANTT Nº 233/2003 - ALT. PELA RES. ANTT Nº 5063/16 - NÃO DISPONIBILIZAR OS ASSENTOS PREVISTOS PARA TRANSPORTE GRATUITO E COM DESCONTO NO VALOR DE PASSAGEM, NA QUANTIDADE E PRAZO ESTABELECIDOS NA LEGISLAÇÃO ESPECÍFICA.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;3;AL;1;2018
604f7a48a60b104ea49b9745;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO I, ALÍNEA ""K"" DA RESOLUÇÃO ANTT Nº 233/2003";111;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO I, ALÍNEA ""K""DA RES.ANTT Nº 233/2003 - TRAFEGAR COM VEÍCULO EM SERVIÇO, APRESENTANDO DEFEITO EM EQUIPAMENTO OU ITEM OBRIGATÓRIO.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;1;AL;1;2018
604f7a48a60b104ea49b9746;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO II, ALÍNEA ""J"" DA RESOLUÇÃO ANTT Nº 233/2003";210;"ART.78-F,§1º-LEI 10.233/01 C/C ART.1º, II, AL.""J"", DA RES.ANTT Nº 233/03 - ALT. PELA RES.ANTT Nº 4282/2014 - DIVULGAR INFORMAÇÕES QUE POSSAM INDUZIR O PÚBLICO EM ERRO SOBRE AS CARACTERÍSTICAS DOS SERVIÇOS A SEU CARGO.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;2;AL;1;2018
604f7a48a60b104ea49b9747;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO IV, ALÍNEA ""L"" DA RESOLUÇÃO ANTT Nº 233/2003";412;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO IV, ALÍNEA ""L"" DA RES.ANTT Nº 233/2003 - ALT. PELA RES.ANTT Nº 579/2004 - INTERROMPER A PRESTAÇÃO DO SERVIÇO PERMISSIONADO, SEM AUTORIZAÇÃO DA ANTT, SALVO CASO FORTUITO OU DE FORÇA MAIOR.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;1;AL;1;2018
604f7a48a60b104ea49b9748;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO I, ALÍNEA ""K"" DA RESOLUÇÃO ANTT Nº 233/2003";111;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO I, ALÍNEA ""K""DA RES.ANTT Nº 233/2003 - TRAFEGAR COM VEÍCULO EM SERVIÇO, APRESENTANDO DEFEITO EM EQUIPAMENTO OU ITEM OBRIGATÓRIO.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;1;AM;1;2018
604f7a48a60b104ea49b9749;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART. 1º, INCISO I, ALÍNEA ""P"" DA RESOLUÇÃO ANTT Nº 233/2003";116;"ART. 78-F, PARAG. 1º- LEI 10.233/2001 C/C ART.1º, INCISO I, ALÍNEA ""P"" DA RES.ANTT Nº 233/2003 - ACRESC. PELA RES.ANTT Nº 1383/2006 - NÃO AFIXAR, EM LOCAL VISÍVEL, RELAÇÃO DOS NÚMEROS DE TELEFONE OU OUTRAS FORMAS DE CONTATO COM O ÓRGÃO FISCALIZADOR.";Transporte Rodoviário Interestadual de Passageiros;JANEIRO;2;AM;1;2018
